,trade_id,date,action,price,shares,value,entry_price,stop_loss,targets,pnl
48,25,2022-11-02,ENTRY,3759.68994140625,4.987113376957588,18750.0,3759.68994140625,3748.539155144865,"[3770.840727667635, 3776.416120798327, 3781.991513929019]",0.0
49,25,2022-11-03,STOP,3719.889892578125,-4.987113376957588,18551.51264408569,,,,-198.48735591430736
50,26,2022-11-04,ENTRY,3770.550048828125,4.972749269255142,18750.0,3770.550048828125,3753.5158632713774,"[3787.5842343848726, 3796.101327163247, 3804.6184199416207]",0.0
51,26,2022-11-07,TARGET_3,3806.800048828125,-4.972749269255142,18930.262161010498,,,,180.2621610104989
52,27,2022-11-08,ENTRY,3828.110107421875,4.897978238308197,18750.0,3828.110107421875,3804.875371231844,"[3851.3448436119056, 3862.9622117069216, 3874.579579801937]",0.0
53,27,2022-11-09,STOP,3748.570068359375,-4.897978238308197,18360.41461959769,,,,-389.58538040230894
54,28,2022-11-10,ENTRY,3956.3701171875,4.739192604489941,18750.0,3956.3701171875,3926.217358561875,"[3986.522875813125, 4001.5992551259374, 4016.6756344387504]",0.0
55,28,2022-11-23,TARGET_3,4027.260009765625,-4.739192604489941,19085.960854639336,,,,335.96085463933633
56,29,2022-11-25,ENTRY,4026.1201171875,4.657089071922192,18750.0,4026.1201171875,3964.1968388285254,"[4088.0433955464746, 4119.005034725962, 4149.966673905449]",0.0
57,29,2022-11-28,STOP,3963.93994140625,-4.657089071922192,18460.42138287894,,,,-289.5786171210603
58,30,2022-11-29,ENTRY,3957.6298828125,4.737684057174963,18750.0,3957.6298828125,3890.61850814848,"[4024.6412574765204, 4058.14694480853, 4091.65263214054]",0.0
59,30,2022-12-16,STOP,3852.360107421875,-4.737684057174963,18251.265063429444,,,,-498.7349365705534
60,31,2022-12-19,ENTRY,3817.659912109375,4.911385621470941,18750.0,3817.659912109375,3733.616114785205,"[3923.771354118794, 3976.8270751235036, 4029.8827961282127]",0.0
61,31,2023-01-26,TARGET_3,4060.429931640625,-4.911385621470941,19942.33718325,,,,1192.3371832500006
62,32,2023-01-27,ENTRY,4070.56005859375,4.606245757365765,18750.0,4070.56005859375,3980.948796083127,"[4265.818570147428, 4363.447825924266, 4461.077081701105]",0.0
63,32,2023-02-24,STOP,3970.0400390625,-4.606245757365765,18286.980086503856,,,,-463.01991349614417
