,date,price,position,capital,unrealized_pnl,growth_rate,signal,zone,returns
0,2022-01-03,4796.56005859375,0.25,100000.0,0.0,-0.15997451211332162,Strong Buy,Extreme_Bear,
1,2022-01-04,4793.5400390625,0.25,99984.25945107349,-15.740548926512776,-0.15919860548793682,Strong Buy,Extreme_Bear,-0.00015740548926512776
2,2022-01-05,4700.580078125,0.25,99499.74575895914,-500.254241040865,-0.15842269886255206,Strong Buy,Extreme_Bear,-0.004845899692355604
3,2022-01-06,4696.0498046875,0.25,99476.13366309168,-523.8663369083157,-0.1576467922371673,Strong Buy,Extreme_Bear,-0.0002373081025217605
4,2022-01-07,4677.02978515625,0.0,99377.00001679671,-622.9999832032956,-0.15687088561178253,Strong Buy,Extreme_Bear,-0.000996557090072625
5,2022-01-10,4670.2900390625,0.25,99377.00001679671,-622.9999832032956,-0.15609497898639776,Strong Buy,Extreme_Bear,0.0
6,2022-01-11,4713.06982421875,0.25,100228.99961671779,228.99961671779545,-0.15531907236101297,Strong Buy,Extreme_Bear,0.00857340833167708
7,2022-01-12,4726.35009765625,0.25,100300.08874248099,300.0887424809862,-0.1545431657356282,Strong Buy,Extreme_Bear,0.0007092670388315625
8,2022-01-13,4659.02978515625,0.25,99939.72401172054,-60.275988279467896,-0.15376725911024344,Strong Buy,Extreme_Bear,-0.0035928655226385997
9,2022-01-14,4662.85009765625,0.25,99960.17409334311,-39.82590665687902,-0.15299135248485868,Strong Buy,Extreme_Bear,0.00020462415545763335
10,2022-01-18,4577.10986328125,0.25,99501.20776760177,-498.79223239824023,-0.1522154458594739,Strong Buy,Extreme_Bear,-0.004591491860676089
11,2022-01-19,4532.759765625,0.0,99263.80228911272,-736.1977108872846,-0.15143953923408915,Strong Buy,Extreme_Bear,-0.0023859557468240977
12,2022-01-20,4482.72998046875,0.25,99263.80228911272,-736.1977108872846,-0.15066363260870438,Strong Buy,Extreme_Bear,0.0
13,2022-01-21,4397.93994140625,0.25,99527.12945330229,-472.8705466977151,-0.14988772598331962,Strong Buy,Extreme_Bear,0.002652801505856228
14,2022-01-24,4410.1298828125,0.25,99595.11225317737,-404.8877468226325,-0.14911181935793485,Strong Buy,Extreme_Bear,0.0006830579787491242
15,2022-01-25,4356.4501953125,0.0,99295.74285253377,-704.2571474662251,-0.1483359127325501,Strong Buy,Extreme_Bear,-0.0030058643830088716
16,2022-01-26,4349.93017578125,0.25,99295.74285253377,-704.2571474662251,-0.14756000610716533,Strong Buy,Extreme_Bear,0.0
17,2022-01-27,4326.509765625,0.25,99865.39778105724,-134.60221894276424,-0.14678409948178053,Strong Buy,Extreme_Bear,0.005736952181016219
18,2022-01-28,4431.85009765625,0.25,100470.81170596197,470.8117059619654,-0.14600819285639577,Strong Buy,Extreme_Bear,0.006062299238341007
19,2022-01-31,4515.5498046875,0.25,100951.85222643548,951.852226435479,-0.145232286231011,Strong Buy,Extreme_Bear,0.004787863383460378
20,2022-02-01,4546.5400390625,0.25,101129.95988059705,1129.9598805970422,-0.14445637960562624,Strong Buy,Extreme_Bear,0.001764283172953185
21,2022-02-02,4589.3798828125,0.25,101376.16983121025,1376.1698312102499,-0.14368047298024147,Strong Buy,Extreme_Bear,0.0024345896201669603
22,2022-02-03,4477.43994140625,0.25,100732.8265079686,732.8265079685981,-0.14290456635485668,Strong Buy,Extreme_Bear,-0.006346100117145981
23,2022-02-04,4500.52978515625,0.25,100865.52888948357,865.5288894835688,-0.14212865972947192,Strong Buy,Extreme_Bear,0.0013173697801924789
24,2022-02-07,4483.8701171875,0.25,100769.78213438905,769.7821343890577,-0.14135275310408715,Strong Buy,Extreme_Bear,-0.0009492515049360772
25,2022-02-08,4521.5400390625,0.25,100986.27941338408,986.2794133840836,-0.1405768464787024,Strong Buy,Extreme_Bear,0.002148434524809284
26,2022-02-09,4587.18017578125,0.25,101363.52763385099,1363.5276338509861,-0.13980093985331762,Strong Buy,Extreme_Bear,0.003735638372443173
27,2022-02-10,4504.080078125,0.25,100885.93319958328,885.9331995832831,-0.13902503322793283,Strong Buy,Extreme_Bear,-0.004711699024454785
28,2022-02-11,4418.64013671875,0.25,100394.89117158737,394.8911715873693,-0.13824912660254807,Strong Buy,Extreme_Bear,-0.004867299259892599
29,2022-02-14,4401.669921875,0.25,100297.3596356892,297.35963568919277,-0.1374732199771633,Strong Buy,Extreme_Bear,-0.0009714790738851731
30,2022-02-15,4471.06982421875,0.25,100696.21605142055,696.2160514205451,-0.13669731335177854,Strong Buy,Extreme_Bear,0.0039767389408866816
31,2022-02-16,4475.009765625,0.25,100718.85975630222,718.8597563022148,-0.13592140672639377,Strong Buy,Extreme_Bear,0.00022487145763361305
32,2022-02-17,4380.259765625,0.25,100174.3107855651,174.31078556509604,-0.135145500101009,Strong Buy,Extreme_Bear,-0.005406623665664023
33,2022-02-18,4348.8701171875,0.25,99993.90761143908,-6.092388560924311,-0.13436959347562422,Strong Buy,Extreme_Bear,-0.0018008925912372797
34,2022-02-22,4304.759765625,0.25,99740.39577458196,-259.60422541803916,-0.13359368685023945,Strong Buy,Extreme_Bear,-0.0025352728272428626
35,2022-02-23,4225.5,0.0,99284.87256833438,-715.127431665627,-0.13281778022485471,Strong Buy,Extreme_Bear,-0.0045670884169849435
36,2022-02-24,4288.7001953125,0.25,99284.87256833438,-715.127431665627,-0.13204187359946995,Strong Buy,Extreme_Bear,0.0
37,2022-02-25,4384.64990234375,0.25,100559.31694139009,559.3169413900866,-0.13126596697408519,Strong Buy,Extreme_Bear,0.01283623919825816
